Review,Rating
Works fine. Needs profile editing. Would be nice if this grew into a standalone app that doesn't need going to the website for key functionality.,4
Cannot even sign in- Galaxy ace,1
Great update sameer. Kep improving. Needs fancy UI now. 3D pls,5
Characters are maybe invisible?,3
"Great idea, but there is no access to your groups or group messages. Without that it seems like a fancy phone book with access to messages.",2
this real slow,1
Missing support for group.,4
Password is stored on the phone as a plane text. Epic fail. Otherwise 4 stars. Removed.,1
Wow! What a great app! Strong execution.,5
"HTC Inspire, just keeps loading. Can't do anything.",1
Works great for me!! Droid x,5
Good app,5
"Good app, but seems to be lacking an icon to access groups.",4
Needed space on phone had to remove. Will install if App2SD available,3
Good app does what you need it to do could do with app SD card function though,4
Its ok.,3
Cannot edit profile...minus points!,3
Was looking forward to an official app but not as good as droidin app which is dissapointing,3
It's a good start but has a long way to go. Uninstalled in favour of droidin,3
Would be 5 stars but needs option to keep me logged in.,4
Good for updating status. Needs more features. My Touch 4g,2
I intend to use this daily but it kept getting hunged.,2
"App needs major updating... profile editing and search filtering to name a few, would go a long way",3
App is great love it on my Android HTC.,4
Works great,4
Its OK. Needs SD card support bad,4
Really like the app. Would like to see group support though.,4
"Very slow, not practical",1
Muy grande sería bueno poder moverlo al SDcard Lo tenido que quitar 3 beses por que ocupo espacio,3
No job search,2
How do I view group updates? Sucks.,2
"Helps respond to invites, but no notifications, almost no ability to filter updates, and no ability to remove connections.",3
Is it just me or does the app lacks the option to edit your profile?,3
needs app2sd. uninstall till then,1
Needs contact integration & groups.,3
Sent random invites which you can't delete in app. Uninstalling,2
Works very well on my Desire HD,4
"it freezes all the fxxking time... = =""",3
I like it in general but it would be even better if I could see who browsed my profile as I can do on linkedin website.,4
Good app but need the ability to access group pages. Droid X,4
"Horribly slow, took minutes to load the main menu after login and got tired of waiting for the content pages. Galaxy S on a 100mb wifi.",1
Loaded quickly for me - on a fairly slow WiFi connection (HTC Desire HD).,4
Does not interact with the android keyboard on the Motorola xoom with Android 3.0.1 so can't signin into the app,1
Freezes all the time. Not able to get past main page,2
"Keeps crashing on HTC desire, also says no internet connection when there is one.",2
"Just shows a spinning wheel, does nothing, buttons don't work",1
Great on droid x,4
Can't change my profile in the app. No settings to control sync intervals. Uninstalling.,2
Needs to support multiple accounts & app2sd.,4
Excellent but really needs app2sd!!,3
Loses one star because of the inability to edit one's page.,4
Good. Nice to have an official app finally.,4
Very professionally done!,5
"Feels nice but needs improvement, no notifications, no account settings etc. Released too soon I think. Please update ASAP:-)",3
Make the X button larger,4
Have to enter id and pass all the time?,1
Not being able to edit profile from the app sucks,2
Should be able to recommend people,4
"Limited functionality, poor interface.",1
Needs group access,1
Hangs a lot. Have to force stop and clear data on app. Log back in again and it works for a while longer :(,1
"Doesn't work on my Galaxy S2. Sits trying to receive updates before crashing with a ""no internet connection"" message. Uninstalled and not happy!",1
Obviously you're not listening to your users. It won't let you edit your profile. POOR,1
"Good connectivity, lack of groups is a pain sometimes though.",4
Let me edit my profile,2
Slow to load and not much other than a viewing platform. Can take 15-20mins to open. Easier to go straight to website. HTC Desire,2
The lack of group discussions is a disappointment.,3
Droid is much better.,1
I changed my password but it won't register in the app. Keeps saying password incorrect,2
"Takes way too long to load. I don't know what it is loading (for the home screen), but it takes so long I closed the app.",1
Cant edit profile poor interface vs other social media apps,3
It sucks not upto the level,2
Excellent,5
Once loggedin all it did was try to connect. After several unsuccessful attempts i uninstalled. Also no groups is not good. Droid x 2.3,1
Can't see groups and their updates.,3
"Just loads forever, even on WiFi. Can't contact developer. Evo 2.2",1
Very limited app. Can't view forum posts. UNISTALL. how in hell did their stock go up so high? Not worth a penny. This is a piece of sh** app HTC Evo,1
"I don't mind the app, though it is very limited. Another small bug is that it appears websites and Twitter info are duplicated on the profile screens.",4
Waiting at least for group support,3
Not working on desire s with Android 2.3 app freeze on the startup... Forced to kill..,5
Cannot load webpages in app or similar links,4
Great tool while on the go. Samsung Fascinate,5
Great tool for linkedin. Wish is allowed for Recommendations,4
"This app badly needs a widget, seems to work ok so far. The data uploading and downloading can be quite slow sometimes as well.",3
When not freezing up this app loads updates extremely slow. Going back to Droidin. Sorry. HTC EVO (Gingerbread/2.3.3),1
This app is really slow to load and often locks up my phone.,2
Insta FC. UNINSTALL!,1
Plain doesn't work. Freezes logging in.,1
Doesn't work on 3G. Need to setup profile in a browser. Galaxy tab.,1
"Works fine on the HTC Desire HD handset, however the application basic and weak in functionality",3
good application works on videocon v7500... should have functionality to edit the profile...,3
"Great! Evo, cmod7",5
Good app. Ability to delete connections is requested. Thanks,4
Excellent,5
Would be perfect if you could edit profile. Good app though.,5
"Password stored unencrypted? No thx, uninstall.",4
No groups? Most of my traffic is on groups.... and the storage of passwords in the clear is unforgiveable... amateur hour.,1
Does what it says in the description.,4
Does the basics but could really use more features to make it more usable.,3
"It's good for the basic stuff. Messages, invites and your current connections. No functions to edit your profile data.",3
"On my Asus Transformer, the text in the login screen username and password fields is white on white. The foreground color is just barely brighter than the background. Uninstalling because of plain-text password.",2
"It's sucks, I even can't edit my profile or change my basic information",1
Does not work. Clunky. Rubbish.,1
Nicely done.,5
Indispensable,5
Would be good if app allowed to change profile..,4
Slowest app I've ever seen. Open it up and wait literally minutes before anything happens. Completely useless.,1
"There is no way to go to groups. For me, I have groups that are important. Until this is fixed, I uninstalled and created internet bookmark.",2
"Good idea, but it hangs up for ages on my desire",2
So very slow...,3
Ok probably needsmore work. Home screen does not auto rotate though content screens do and links from contct status can be flaky. v2.2 Dell Streak,3
Need to be movable to SD card. Also need more improvements.,2
Takes forever to load on my EVO Shift. I uninstalled it.,1
Need ability to edit profile from app 5* if updated to do so,3
No widget... What's the use?,3
Could not see how this was better than just opening the website. No integration that I could see.,2
Can't move to SD card = no place on my phone,2
"Can't see sent msg, profile visit, etc. It looks like just demo version...",2
Excellent interface.... Would have liked an options tab to manage preferences...,4
The interface is nice but it loads really slowly for every page. DX,3
Much too slow to be any use.,1
Way too slow to load each page. What's the point if you can't access info on the fly. Please fix the performance of the app. I've uninstalled it,1
Why so slow?? Faster to just access the website.,1
Doesn't respond at all. Horrible.,1
Very slow! Never loads!,1
Doesn't have a place for requests to me.,3
No sync config options. Drains battery. Can't edit profile. doesn't sync contacts to address book. Worthless. Uninstalled.,1
A bit slow and it does not do much. Droidin seems to work better.,3
Doesn't work at all and very slow,3
I'd expect atleast having an option to update current profile n skills,2
"Force closes, wont let me even open.",1
Need to update a lot...no groups..,3
Loads damn slow... Uninstalling... Desire s,2
"Can't see my groups, which for me is the main reason for using LinkedIn.",2
I can't even access my groups let alone comment!!,1
"No app2sd enabled, so being deinstalled.",1
"Nice app, but too slow",3
I really wish I could edit my profile from this app... :c,3
Nice looking app...when I can get to any screens besides the home one loading. Slowest app I've ever used even with wifi on.,3
Still has a way to go.,1
Can't be installed to SD card.,3
Nice app for the basics but I cannot access any of my groups from it.,3
Hangs everytime after update....please fix immediately,3
Decent app but very buggy and loses connection a lot even when I have 4g.,3
Linkedin needs to listen to what people want,2
It just logs in and does nothing!,1
Please update. Passwords cannot be in the clear.,5
Doesn't really do anything.,1
Very limited. Can't update profile from app.,2
Receive an error message each time I try to view my connections. DROID X,1
new version broken. Testing?,1
Must for any professional,4
App is missing the ability to monitor & manage groups. That missing capability reduces the overall usefulness of the app. It would taste higher.,2
Useless w/o group,1
Errors out every time on Nexus S,1
Was ok but latest update won't even allow app to launch - constant crash on Desire.,1
New version asks for access to contacts data? No thanks. Don't want another app importing private data. IPO needs to make more $$$ ?,3
Nice app. Only Miss the ability to interact with groups,4
"After upgrade, it stopped working. Try clear the old data from setting>application>manage application > linkedin> clear data. Then it will work.",5
Better now...,3
Terribly slow. Often fails to connect and as a result unusable on Galaxy S.,1
About time....,3
A group view would be a very useful update,4
Works,4
"Basically it sits there refreshing for ages at times without letting you do anything at all. Needs work, looks good, but pretty poor at the moment..",4
Absolutelly POOR implementation . Phone goes to sleep three times before anything happens with the App. Considering throwing out.,1
Works now,3
Not useable since update 20/06/11 HTC Desire using Droidin,1
Keeps hanging when refreshing pages. HTC Desire HD,1
Works better now updating connections.,4
"Constantly closed, unable to use, please verify the app. Using Milestone A893",1
Crashes allot,1
Works great! Users with problems don't know how to use their own phone.,5
Won't open since latest update - Droid X,5
Last 2 updates killed theapplication!!,1
Update to version 1.1.1 still crashes at opening,1
Crash and burn,1
Dead,1
Crash on Desire,1
"It's an ok app I use occasionally. I wish it had contact sync, and didn't make me login my username and password every time I open it.",3
Now it wont work. Worked before the update.....,1
Like..,4
"Used to work great, since the update - It's a tired, slow moving dog!",1
Apparently this update didn't fix the blank screen bug...,1
"Doesn't support groups but if that isn't important to you, try it out.",3
Latest update appears to be broken on samsung I5801,1
Needs contact syncing. After last update very slow loading.,2
Keeps shutting down. DROID X,1
Best,5
Won't load any changes.,1
Waited a long time for the LinkedIn app only to be disappointed!,1
Slow and freezes constantly. Fire the guy who works on this app. Motorola Droid,1
Force close!,1
Slow is an understatement.,1
"Never worked great before, but now its crap and won't even load!!,updated 3 times now and still not working!!!!!!",1
"Was half decent, but can't even open app since update.",1
Latest update is completely broken.,1
"Awfully limited in scope, but then, the regular site is, too. Need a job, not more hoops to jump through. Gone as soon as I'm gainfully employed.",2
Use to be good for Android. Now takes forever to load.,1
"Simple interface, gets the job done. Add a horizontal mode to the main screen and you'll be golden in my opinion.",3
"Same issues most people are having, latest update makes up unusable, sends error report. Do you have a 3rd grader programming for you?",1
"HTC Desire HD, still out working after update, none of the buttons work..",2
Not working at all after the latest update. @Nexus1.,1
"Great for keeping up, but doesn't replace pc",4
"No option for updating profile, neither for adding recommendations. Can't rate it more ryt now.",2
New version is much slower to startup as out syncs the your data. Disappointing.,2
Rarely works and force closes,1
Basic but good. Needs a widget. Droidin has a few better features.,4
"App is super buggy on Xoom with Honeycomb 3.1. On the plus side, current version leaves lots of room for the developers to make improvements. ;-)",3
Interface needs updated.,3
After the update it keep crashing the app,1
Crashes after update,1
Crashed after update GalaxyS gingerbread,1
Recent update stopped it working. Can't uninstall. Not very good really!,1
Since recent update it fails to load!!!,1
Will not load since the last update. Went from being decent to no good. Two thumbs down,1
Not loading on my Galaxy Mini,1
Will not open since latest updates,1
Works fine don't know what the fuss is. Try completley uninstalling and reinstalling.,5
Will not open after last upgrade,1
Not working since update...,1
Is not working after update.,1
Crashes on start up. HTC desire. Worked well before update.,1
Crashes on start. Galaxy S,1
"Can't even use it. If it gets fixed, I will keep it, otherwise don't bother.",1
"Works OK, but it's slow, a memory hog (no SD), and you can't share links from other apps. Droidin works better.",3
So slow better off using 3rd party app. Shame,1
Not working after update...HTC wildfire,1
Would be great if i could update/edit my profile from the app,3
It has stopped working after the recent update on my HTC Wildfire. Please look in to this issue and fix it asap.,1
Crash since last update MyTouch 4G,1
Dead after new update,1
Not working,1
Not working,1
"Latest update not working on my samsung epic, fix please!",1
"Great app, works fine :-) x8",5
"Good application, but not able to see groups and its discussion. This need to update.",3
Latest update not working on my HTC Hero!,2
Better honeycomb support required,4
Fc on desire hd 2.2,1
Broken after last update...,1
Does not open at all since the last two updates were downloaded. I am using Sprint's HTC EVO.,1
"Before(1.0.2) it was working well, please fix it",3
Heavy app. Why cant you sync linked in contacts in andriod like you can with facebook and twitter?,3
The application does not work with this latest update. I'm using HTC Desire. Worked fine before.,1
Not working after latest update.,1
Not working on my phone since last few updates. Just has the loading icon in the upper right corner constantly going. Running on DROIDX.,1
"Since the last update or so, I can't do anything except see the menu, when I tap an icon I get ""There was an error completing this action....""",1
Good app. Needs GROUPS added though for full functionality,3
"What u need to do before this update is uninstall previous version, then install this version. After that, it works, but is a little slow. Xperia X10",1
Completely unresponsive dashboard while updating. Otherwise ok. Desire,3
Just updated it and now its not working. Keeps force closing. It was working ok before update.,3
It keeps crashing all the time after i updated it,1
Ok app. Nothing special.,3
Doesn't work since latest upgrade installed.,1
Unbelievably slow - to the point that I'm not sure if it does anything at all. I'm amazed that this is such a turd.,1
Linked's app is simply fantastic. 5 stars,5
Decent when it works. Since latest update just cannot connect error message,3
Last update broke it completely.,1
For a professional app this is very poor on many fronts. Weak support updates are few and far between you have to wonder if this company cares,1
"Great, I like it better on my phone than on my computer. I use an EVO 4G and don't have any problems with this app.",4
Crashes most of the time and when it does open it seems to crawl and barely manages to open any of the updates. The worst professional app.,1
"Takes so long to refresh, even on wifi, that it's unusable.",1
Recent update toasted app. Wont work at all. Just uninstalled.,1
Latest update will not connect.,1
"this app should be great. But last update just made this app useless. It doesn't work at all. -soner X8, eclair-",4
since last update it does not work... galaxy scl i9003,1
"After update I can no longer invite someone as a contact. The app gives me an error message. Uninstalled twice, still does not work. Please fix it.",1
Sooooo slow - have reverted to droidin,2
Will not open anymore since last update. Going back to DroidIn,1
The latest version would not run on my Thunderbolt. After clearing the cache the app worked perfectly and very fast.,4
Clear data and force stop repaired update,4
"Slow, slow, slow. Refresh cycle never ending. Seems like basic stuff that shouldn't be overly taxing on system resources.",2
Booooo!,1
junk,1
App started out strong but recent app update now causes it to crash every few seconds. Too bad because it was great for awhile.,1
Stopped working after last update... Not good really from a supposed top draw social networking company,1
After last update....awful! Always an error...uninstalling it,1
Slow - had to un-install.,1
Last update forces close. Was promising up till then,2
Very slow to retrieve data after last update even after clearing cache.,2
This new version is not able to load content 90+% of the time and presents an error. The previous version was great though. (Moto Defy with OS v2.1),1
This app doesnt work. - Desire HD,1
Someone pls fix this app.,1
Used to work before upgrade. Fix it guys,1
"Seriously had problems. Freezing, slow startup, slow refresh.. Bleh.",1
Worked before the upgrade. Very disappointed.,1
"Come on !!! We need another update, after istalling the latest one its crashing at start up every time.",1
"Hangs everytime, open the app and nothing. Uninstalling. Nexus s",1
- droidx w gingerbread - Hangs on open,1
can't read my news groups,3
"News is nice, but would rather have groups.",4
Very handy..works great droid x,5
I use it to add people that I meet at conferences. Does the job. Works fine on Mytouch3G.,4
Installed app and none of buttons work. It just continues to idle. This is 2nd time I've installed app and does not work.will just go online.,1
Was working fine til update. Now force crashes all time. Desire 2.2,3
Works pretty good on my Droid. Not sure why everyone else is having so much trouble.,4
No longer works on epic 4g!,1
So unbelievable slow! It's actually faster on the internet browser. Disappointed n uninstalled. HTC Desire,1
Very slow to load anything. Barely usable. Galaxy s.,2
Works great on my thc thunderbolt,5
"Like that they tried to make or user friendly, but it needs to pull updates faster. I get bored waiting for it to update and just back out. -sensation",3
Was working perfectly until the last update now it doesn't work at all! Tried uninstall & re-install to no avail. If linkedin's developers fix that 5*,2
I love this app.it will help me expand my world!!,5
Crashes every time on startup since i upgraded. Samsung intercept.,1
Useless. Serves no purpose. Trying to be twitter instead of a way to update and manage profile and network.,1
It worked fine in the beginning. After the update it died on Droid X.,1
Update won't download data and crashes. Was 3* until update. Missing 2* because of limited features: ie: reply (don't accept) & can't view sent msg.,1
Used to work...now it is nothing but a screensaver... completely dead - DROID X,1
Application Crashes on Motorola Milestone SDK Version: 2.1 Update 1,1
"Doesn't work at all on samsung galaxy s 2, previous version was ok though..",1
"Stopped working, Galaxy Tab",1
Doesn't login,1
Rubbish. Won't authenticate. Uninstalled.,1
Doesn't even load correctly on samsung vibrant for tmobile. Errors on every function. Uninstalling now!,1
Works perfectly.,4
Doesn't load at all even when connected to WiFi. Uninstalling.,1
"Pointless, not enough functionality, having to sign in every time I use it, unlike the website, makes using it a pain. Uninstalled",1
Was fine.. But now it is broken big time. Recently had probe login on . New update 1.1.1 crashes straight away too.Will delete and use droidin instead,1
I have to log in every time. Not having the coice suchs. No groups ether,3
Doesn't update to show messages or connect requests. Frustratingly slow to start up. IPhone version was far better. Step up team. HTC desire s,3
"V slow updating, no access from email updates to app. No access to groups",3
Review for app only not LinkedIn in general. This app is slow to load to the point of near uselessness. I will not delete but wait for update to use.,1
Either sync is painfully slow or app is broken on Droid Incredible,1
Does its job. Worthy substitute to desktop version.,5
It works without crashing but would like to see groups and the group discussions.,4
Very slow.,2
Keeps crashing on MT4G TMO,1
Love it for my HTC sensation.,5
It would be nice if I can move this app to the SD Card.,3
"If LinkedIn doesn't add ""groups"" to this app fast, then they will be losing people to Google+ when public availability rolls out >:|",2
Good update!,5
"Crashes all the time, when it doesn't it keeps loading and touch actions don't work, ..",1
Many mobile sites are void if all the features and functionality that one looks forward to with an app but not this app,5
"Old version was nice and clean, uncomplicated, simple. This new redesign is overly busy, bloated and slow. Ridiculous animation, unwanted news strip.",1
Much improved from previous vers. New UI is nice. Still needs app2sd.,3
Not my contact data!,1
Outstanding UI.,5
"One 3rd of the screen is now a massive header advertising articles, linkedin isn't used for reading articles...",1
Really hate this update. Like old interface better. App just looks cheesy. Hate the ads on top as well.,2
NICE!,5
"Well done, this is a very nice update!",4
Great new UI (2.0)! Sync with contacts is also very nice.,4
"I just updated my LinkedIn app and I think that it is a great app. I like the new ""fancy"" UI.",5
The new app is perfect.,5
"Although the contacts sync with my evo, they don't include the profile pic or their status update like ConnectIn does. Currently run both and link.",3
Been waiting for these new funtionalities. Great update !!!,5
Love the new UI and glad to finally have contact integration,5
This ver is really slow and new UI is ever confusing. Disappointed.,2
What an awesome surprise from LinkedIn. Beyond expectations!,5
"Great new update, love it.",5
"Has features we expect-contact integration, groups, updates, news.",4
Very nice!!!,5
This sucks,1
Please add profile modification option.,5
Loving the updated version. Swoosh.,4
Much faster than the previous versions.love the new interface.,4
Much nicer than the previous version,4
"New interface is nice. Faster as well. ""Share update to twitter"" is removed, apparently ...",4
I've added a new star because of the recent updates. I would like to see the app open up when I get my email update.,4
The new look on versiom 2.0.0 is awesome! It's getting better and better!,5
"Asking for too many rights, I don't trust this. De-installing!",1
So far a lot like about LinkedIn 2.0 for Android. Could use a 'settings' option for sync/updates.,5
Better than ordinary resume,5
"Update offers more functionality, not that intuitive and the refresh can be slow",4
Very nice update from previous version. Wonderful.,5
"They have no business accessing my contacts. If I want them to access a particular contact, fine but they cannot have unfettered control.",1
Very nice update. Keeps getting better.,4
Don't like new layout and the app just completely froze my phone (GS2) ....this has not happened before in 3 months of owning it,1
"Appears to have security issues - showed me somebody else's groups and ""people you may know"". Uninstalled and reverted to earlier version!",1
"The new update is a poor effort. Non-intuitive UI, wants to sync all your contacts (at least it asked first & clearly), no clear settings section.",2
SLOOOOOOOOOWWWWW,2
Does not load.,3
I can log into my account online but not through the app.,1
"Don't like the new format. Too difficult to use, too many clicks, trying to be a news service, instead of sticking with what best at: biz networking.",2
New ui its step backward.,2
Love the new update and interface.,5
"Cluttered, poorly designed ui. Hate it!",1
Well I am glad to see groups finally included..however are there no notifications???? Can't see to figure out where I would set my preferences for notifications. It is useless to me with out notifications. Until this is cleared up I am going to continue using Droidin.,1
This update is much closer to the site.,5
This update is amazing. The interface is fantastic! Thanks!!,5
Force closes everytime! HTC HERO SPRINT,3
The new update is a game changer. Now I no longer need to install alternatives for linkedin.,4
I repeatedly get a Force Close error message even when I'm not even using the app. Annoying on my Droid x.,1
Wow I quickly browsed through the app and totally impressed with the new usability and quick info access.,5
Brilliant improvement. Waiting to see what you do in the next update :-),4
No Apps2sd? Uninstalled till its added.,2
Okay,3
"The new LinkedIn App is fabulous full of functionality including Groups, initial App was shockingly bad. Th enew improved App meets my high expectations.",5
Simply fantastic after update!,5
This is an awesome app & something I can really see myself using. Super nice job!,5
"New version does not go beyond the sign in page if the ""phone state and identity"" permission is not granted on a rooted phone.",1
Excellent!!,5
Really needs a Widget ! No profile editing option also.sad!,1
Excellent update. Contact sync was a much needed feature.,5
